1	1534
2	1166
3	891
4	664
5	557
6	483
7	454
8	452
9	449
10	447
11	445
12	784
13	933
14	1157
15	1294
16	1450
17	1489
18	1600
19	1699
20	1708
21	1771
22	1820
23	2010
24	2163
25	2409
26	2713
27	3029
28	3321
29	3593
30	3924
31	4367
32	4684
33	4996
34	5373
35	5723
36	6167
37	6740
38	7323
39	7978
40	8601
41	9287
42	10132
43	11061
44	12074
45	13176
46	14336
47	15515
48	16830
49	18138
50	19570
51	21344
52	23292
53	25279
54	27436
55	29896
56	32578
57	35584
58	38612
59	41997
60	45373
61	49233
62	53411
63	58214
64	63521
65	69256
66	75526
67	81757
68	88578
69	96392
70	104555
71	113699
72	123911
73	134060
74	146221
75	159462
76	172935
77	188674
78	205115
79	222981
80	242184
81	262838
82	285184
83	309843
84	336882
85	366460
86	398167
87	433039
88	469867
89	511534
90	555172
91	604069
92	657344
93	713847
94	777708
95	844641
96	916900
97	996165
98	1083156
99	1177352
100	1281278
